Name,Tags,Server end time,File name,Duration,User Name,f,process duration,train_loss,test_macro_f1,Loss,test_acc,test_loss
EfficientNetB3 stage1,"lr1e-3,efficientnet-b3,stage1",1781484102097,Jupyter interactive,18499,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-b577af87-431d-4c2d-980a-176f1bda0cd3.json,,0.9477361412863657,0.6736684554273936,0.714607298374176,0.7474093264248705,0.7618339530059269
EfficientNetB3 stage3,"unfreeze-5-8,stage3,lr1e-5,efficientnet-b3",1781480813511,Jupyter interactive,1023,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-8e2602de-88bc-41cb-b832-709159accfe2.json,1024.0,0.40971110861536136,,0.3990265130996704,,
EfficientNetB3 stage2,"unfreeze-7-8,lr1e-4,stage2,efficientnet-b3",1781479788315,Jupyter interactive,968,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-8e2602de-88bc-41cb-b832-709159accfe2.json,967.0,0.5272486134977539,,0.6101490259170532,,
EfficientNetB3 stage3,"unfreeze-5-8,stage3,lr1e-5,efficientnet-b3",1781479332490,Jupyter interactive,909,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-9fd6b49e-a167-4414-a735-e6c067a88ebe.json,910.0,0.40971110861536136,,0.3990265130996704,,
EfficientNetB3 stage1,"lr1e-3,efficientnet-b3,stage1",1781478818484,Jupyter interactive,2044,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-8e2602de-88bc-41cb-b832-709159accfe2.json,2044.0,0.8553152658778769,,0.6687662601470947,,
EfficientNetB3 stage2,"unfreeze-7-8,lr1e-4,stage2,efficientnet-b3",1781478421189,Jupyter interactive,886,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-9fd6b49e-a167-4414-a735-e6c067a88ebe.json,885.0,0.5272486134977539,,0.6101490259170532,,
EfficientNetB3 stage1,"lr1e-3,efficientnet-b3,stage1",1781477533665,Jupyter interactive,3266,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-9fd6b49e-a167-4414-a735-e6c067a88ebe.json,3266.0,0.8553152658778769,,0.6687662601470947,,
EfficientNetB3 stage1,"lr1e-3,efficientnet-b3,stage1",1781476773032,Jupyter interactive,1723,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-8e2602de-88bc-41cb-b832-709159accfe2.json,1725.0,,,1.5018720626831055,,
EfficientNetB3 stage1,"lr1e-3,efficientnet-b3,stage1",1781473085206,Jupyter interactive,2419,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-d4af83cf-fe2d-4f90-9a46-99176fa92497.json,,,,1.5940947532653809,,
task-img__arch-cnn_scratch__bn_dout3,,1781447173534,Jupyter interactive,4207,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-1a91d383-563e-431a-8b24-7c0786b671fd.json,4207.0,0.5097192525863647,0.5487083848985921,0.6233277916908264,,0.6345369815826416
task-img__arch-cnn_scratch__bn_dout2,,1781440219576,Jupyter interactive,2287,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-4cb0116e-3cae-42ce-b1eb-2aae81d26379.json,2287.0,0.8090876936912537,0.49320534913554626,0.9754376411437988,,0.6989114880561829
task-img__arch-cnn_scratch__bn_dout,,1781436481490,Jupyter interactive,2343,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-4cb0116e-3cae-42ce-b1eb-2aae81d26379.json,2337.0,0.16292597353458405,0.5869018465203616,0.19103114306926727,,0.31819820404052734
CLIPHEAD big,"big,CLIPHEAD",1781434937565,Jupyter interactive,32,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-6707f5c3-7998-4deb-9a2b-6af4468bec59.json,31.0,0.10774110538923011,0.8136991632228933,0.12680336833000183,0.8471502590673575,0.5201311664256666
CLIPHEAD small,"small,CLIPHEAD",1781434903883,Jupyter interactive,26,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-6707f5c3-7998-4deb-9a2b-6af4468bec59.json,26.0,0.05940399265715054,0.8160360932137838,0.041824765503406525,0.8581606217616581,0.4337698734099312
CLIPHEAD base_d05,"CLIPHEAD,dropout-0.5",1781434876694,Jupyter interactive,92,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-6707f5c3-7998-4deb-9a2b-6af4468bec59.json,63.0,0.30604688914454714,0.8117614197533752,0.25020691752433777,0.8581606217616581,0.4031495733984879
CLIPHEAD base_d00,"CLIPHEAD,dropout-0",1781434783301,Jupyter interactive,29,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-6707f5c3-7998-4deb-9a2b-6af4468bec59.json,28.0,0.0037580126687428174,0.8069469432111742,0.0040793162770569324,0.8536269430051814,0.5700653513693916
CLIPHEAD BASE,"CLIPHEAD,dropout-0.25",1781434752694,Jupyter interactive,513,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-6707f5c3-7998-4deb-9a2b-6af4468bec59.json,487.0,0.09444326017888224,0.8079898369165852,0.06674952059984207,0.8477979274611399,0.5087704293296805
task-img__arch-cnn_scratch__base,,1781434130789,Jupyter interactive,3299,mikhail-nedosekin,/root/.local/share/jupyter/runtime/kernel-4cb0116e-3cae-42ce-b1eb-2aae81d26379.json,3296.0,0.6381707191467285,0.5283002879334547,0.7279917597770691,,0.6027435660362244
