experiment_name,experiment_key,branch_dim,hidden_dim,dropout,lr,weight_decay,batch_size,loss,optimizer,patience,best_epoch,best_val_loss,test_loss,test_mae,test_rmse,test_mape,test_r2
mlp_run_10 Role-C TwoBranchResidualMLP dropout = 0.15 lr = 0.0003,fe10217077004525afdfe1e47523f803,256,512,0.15,3.0E-4,1.0E-4,64,MSELoss,AdamW,30,45.0,0.3487,0.3067,19374.22,33411.29,35.65999984741211,0.6437
mlp_run_12 Role-C TwoBranchResidualMLP dropout = 0.15 lr = 0.0002,999fa91e66b6478c808912a0b6518169,256,512,0.15,2.0E-4,1.0E-4,64,MSELoss,AdamW,35,57.0,0.3408,0.3062,19597.58,34288.72,34.45000076293945,0.6248
mlp_run_9 Role-C TwoBranchResidualMLP dropout = 0.2 lr = 0.0003,e168d4427ae64c609e5ae706cf0dd7ff,256,512,0.2,3.0E-4,1.0E-4,64,MSELoss,AdamW,30,57.0,0.3402,0.3166,19780.1,34474.34,35.41999816894531,0.6207
mlp_run_11 Role-C TwoBranchResidualMLP dropout = 0.1 lr = 0.0003,729d46b420ad47cfadc7d38d52572865,256,512,0.1,3.0E-4,1.0E-4,64,MSELoss,AdamW,30,43.0,0.3465,0.3164,19795.5,34069.66,36.189998626708984,0.6295
mlp_run_1 Role-C TwoBranchResidualMLP dropout = 0.2 lr = 0.001,2d091294237b44d89e9aacffd8511d03,128,256,0.2,0.001,1.0E-4,64,MSELoss,AdamW,25,28.0,0.3593,0.3356,20490.47,35256.83,37.13999938964844,0.6033
mlp_run_8 Role-C TwoBranchResidualMLP dropout = 0.2 lr = 0.0005,f07c7bf699504b43a592d426d3f969d7,256,512,0.2,5.0E-4,1.0E-4,64,MSELoss,AdamW,25,12.0,0.347,0.3223,20528.19,34465.39,37.11000061035156,0.6209
mlp_run_2 Role-C TwoBranchResidualMLP dropout = 0.3 lr = 0.001,d02a242c02344992ba2833765700dc0e,128,256,0.3,0.001,1.0E-4,64,MSELoss,AdamW,25,12.0,0.3711,0.3297,20544.52,35029.61,38.880001068115234,0.6084
mlp_run_7 Role-C TwoBranchResidualMLP dropout = 0.3 lr = 0.0005,48a4c4198e6d475e8a7050a922e32469,256,512,0.3,5.0E-4,1.0E-4,64,MSELoss,AdamW,25,14.0,0.3565,0.3285,20759.74,35830.07,35.279998779296875,0.5903
mlp_run_4 Role-C TwoBranchResidualMLP dropout = 0.3 lr = 0.0005,7240055965024d708855eb3d4a6e392d,128,256,0.3,5.0E-4,1.0E-4,64,MSELoss,AdamW,25,12.0,0.3707,0.3266,20929.27,35917.8,36.560001373291016,0.5883
mlp_run_5 Role-C TwoBranchResidualMLP dropout = 0.3 lr = 0.0005,cea2558825ac41c4a0590ea5db286129,128,256,0.3,5.0E-4,1.0E-4,64,HuberLoss,AdamW,25,12.0,0.168,0.3236,20976.31,35935.29,36.93000030517578,0.5879
mlp_run_3 Role-C TwoBranchResidualMLP dropout = 0.1 lr = 0.001,4af0b294a23f43fca420edc359d3e39d,128,256,0.1,0.001,1.0E-4,64,MSELoss,AdamW,25,16.0,0.3617,0.3462,21390.87,36820.67,37.68000030517578,0.5673
mlp_run_6 Role-C TwoBranchResidualMLP dropout = 0.4 lr = 0.0005,4a3fd8c730da4b73b5b0a6ecb4664c5c,64,128,0.4,5.0E-4,0.001,64,HuberLoss,AdamW,25,6.0,0.4054,0.375,22981.27,39681.73,37.88999938964844,0.4974
